,city,country,id,date,latitude,longitude,temp,cloudiness,wind speed,humidity
243,Sioux Lookout,CA,6148373,10/28/19 13:18,50.1,-91.92,28.094000000000072,90,4.6,74
244,Yulara,AU,6355222,10/28/19 13:18,-25.24,130.99,68.0,0,3.1,14
245,Hovd,NO,7626384,10/28/19 13:18,63.83,10.7,40.17200000000004,75,5.7,86
246,Iquique,CL,3887127,10/28/19 13:18,-20.22,-70.14,68.0,97,6.2,52
247,East London,ZA,1006984,10/28/19 13:18,-33.02,27.91,60.8,46,8.7,59
248,Huejuquilla el Alto,MX,4004616,10/28/19 13:14,22.63,-103.9,71.24000000000002,56,0.51,46
249,Annigeri,IN,1278540,10/28/19 13:18,15.43,75.43,74.49800000000002,5,3.13,79
250,Pevek,RU,2122090,10/28/19 13:18,69.7,170.27,1.2020000000000763,100,5.19,92
251,Natal,BR,3394023,10/28/19 13:18,-5.81,-35.21,86.41400000000003,20,8.2,54
253,Mahebourg,MU,934322,10/28/19 13:18,-20.41,57.7,72.53600000000007,20,1.86,83
254,Mackay,CA,5921525,10/28/19 13:18,53.65,-115.58,14.0,75,4.1,66
257,Linxia,CN,1803331,10/28/19 13:18,35.6,103.21,38.372000000000035,0,3.1,24
258,Acapulco,MX,3533462,10/28/19 13:18,16.86,-99.88,86.0,75,1.99,70
259,Bambous Virieux,MU,1106677,10/28/19 13:18,-20.34,57.76,72.55400000000006,20,2.75,83
260,Bilma,NE,2446796,10/28/19 13:18,18.69,12.92,84.542,75,3.85,14
261,Kargasok,RU,1504382,10/28/19 13:18,59.06,80.87,35.87000000000006,100,4.06,93
262,Henties Bay,NA,3356832,10/28/19 13:18,-22.12,14.28,60.998000000000026,0,8.05,81
263,Portland,US,4975802,10/28/19 13:17,43.66,-70.25,49.26200000000006,90,2.1,87
264,Launceston,AU,2160517,10/28/19 13:18,-41.43,147.14,47.354000000000056,100,6.7,66
265,Hay River,CA,5972762,10/28/19 13:18,60.82,-115.79,19.4,90,5.7,79
266,Jieshi,CN,1805857,10/28/19 13:18,22.82,115.83,69.99800000000002,18,0.89,67
267,Nexo,DK,2616504,10/28/19 13:18,55.06,15.13,39.2,73,1.5,93
268,Muzhi,RU,1498161,10/28/19 13:18,65.4,64.7,13.424000000000014,23,4.79,83
269,Morehead,US,4301307,10/28/19 13:18,38.18,-83.43,63.248000000000026,1,2.1,55
270,Yekaterinovka,RU,488635,10/28/19 13:18,46.69,38.75,51.92600000000009,41,2.51,93
271,Bonavista,CA,5905393,10/28/19 13:18,48.65,-53.11,39.992,78,6.26,85
272,Praia da Vitoria,PT,3372760,10/28/19 13:18,38.73,-27.07,69.8,40,10.78,94
273,Ottappalam,IN,1261008,10/28/19 13:18,10.77,76.38,78.8,75,1.5,83
274,Puyang,CN,1798422,10/28/19 13:18,35.76,115.02,50.12600000000009,0,1.75,20
275,Nizwa,OM,286987,10/28/19 13:18,22.93,57.53,77.14400000000008,2,3.15,33
276,Alofi,NU,4036284,10/28/19 13:18,-19.06,-169.92,74.89400000000008,100,11.33,79
277,Logstor,DK,2617467,10/28/19 13:18,56.96,9.26,42.602000000000075,39,0.45,87
278,Santa Isabel do Rio Negro,BR,3662489,10/28/19 13:18,-0.41,-65.02,88.46600000000001,29,1.16,61
279,Sibu,MY,1735902,10/28/19 13:18,2.29,111.83,75.05600000000003,75,2.1,94
280,Santa Rosa,AR,3835994,10/28/19 13:18,-36.62,-64.29,73.43600000000006,18,3.04,30
281,Khonsa,IN,1266668,10/28/19 13:18,26.99,95.51,62.00600000000003,85,1.87,92
282,Airai,TL,1651810,10/28/19 13:18,-8.93,125.41,64.72400000000002,47,1.0,82
283,Mandera,ET,187896,10/28/19 13:18,3.94,41.86,88.77200000000003,76,1.61,53
284,Kharp,RU,1503726,10/28/19 13:18,66.82,65.8,6.152000000000079,44,3.84,91
285,Non Thai,TH,1608131,10/28/19 13:18,15.2,102.07,75.92000000000006,10,2.92,82
286,Serenje,ZM,898912,10/28/19 13:18,-13.23,30.22,74.984,78,1.78,19
287,Tiznit,MA,2527089,10/28/19 13:18,29.7,-9.73,67.53200000000001,30,3.19,62
288,Ruston,US,4339348,10/28/19 13:18,32.52,-92.64,59.0,90,1.5,82
289,Saravan,AM,174726,10/28/19 13:18,39.72,45.65,52.73600000000007,0,4.1,53
290,Steamboat Springs,US,5582371,10/28/19 13:15,40.48,-106.83,12.668000000000085,40,4.1,84
291,Tura,RU,2014833,10/28/19 13:15,64.27,100.22,4.783999999999992,100,1.32,95
292,Gamboula,CF,2386756,10/28/19 13:18,4.12,15.14,69.89000000000001,98,0.86,96
293,Shasta Lake,US,5571109,10/28/19 13:18,40.68,-122.36,45.608000000000004,1,3.6,11
294,Beyneu,KZ,610298,10/28/19 13:18,45.32,55.19,59.18000000000004,23,4.78,24
295,Portage,US,4925006,10/28/19 13:18,41.58,-87.18,52.610000000000085,90,2.6,76
296,Chuy,UY,3443061,10/28/19 13:16,-33.69,-53.46,78.53000000000004,100,5.34,64
297,San Luis,AR,3837056,10/28/19 13:18,-33.3,-66.34,78.26000000000008,21,8.45,33
299,Tecoanapa,MX,3532499,10/28/19 13:18,16.99,-99.26,86.0,75,0.87,70
300,Zhanakorgan,KZ,1517323,10/28/19 13:18,43.91,67.25,50.288000000000046,17,1.96,48
301,Pokhara,NP,1282898,10/28/19 13:18,28.21,83.99,61.610000000000085,68,0.68,95
302,Shadrinsk,RU,1492517,10/28/19 13:18,56.09,63.63,46.814000000000036,91,10.72,60
303,Ostrovnoy,RU,556268,10/28/19 13:18,68.05,39.51,17.348000000000024,98,5.76,88
304,Rosetta,EG,350203,10/28/19 13:18,31.4,30.42,73.4,40,5.1,56
305,San Quintin,PH,1688687,10/28/19 13:16,17.54,120.52,72.59000000000002,98,1.91,84
306,Komsomolskiy,RU,1486910,10/28/19 13:18,67.55,63.78,9.590000000000021,98,3.01,96
308,Bang Pakong,TH,1619363,10/28/19 13:18,13.54,100.99,83.13800000000005,40,2.1,83
309,Banda Aceh,ID,1215502,10/28/19 13:18,5.56,95.32,73.61600000000001,100,0.57,91
310,Marovoay,MG,1059507,10/28/19 13:18,-16.11,46.64,82.4,40,6.2,78
312,Lagoa,PT,2267254,10/28/19 13:18,37.14,-8.45,68.342,20,2.6,88
313,Rocha,UY,3440777,10/28/19 13:18,-34.48,-54.34,81.59000000000002,100,5.41,67
314,Vestmannaeyjar,IS,3412093,10/28/19 13:18,63.44,-20.27,41.0,33,6.2,69
315,Coahuayana,MX,3981460,10/28/19 13:18,18.62,-100.35,81.55400000000006,79,1.18,75
316,Vardo,US,4372777,10/28/19 13:18,39.62,-77.74,65.516,1,3.1,52
318,Berlevag,NO,780687,10/28/19 13:18,70.86,29.09,30.74000000000002,40,9.3,59
319,Iqaluit,CA,5983720,10/28/19 13:15,63.75,-68.52,33.35,40,7.7,74
